Column,  (Number) from top,"Year, Vintage, or NV",Name,Type
16.0,8,1998,A. Rafanelli,Z
16.0,9,1998,A. Rafanelli,Z
16.0,10,,,
16.0,11,1998,A. Rafanelli,Z
16.0,12,1995,Leonetti - Columbia Valley ,M
16.0,13,1994,Leonetti - Columbia Valley ,C
16.0,14,1992,Leonetti - Walla Walla Select,BL
,,,,
16.0,15,1994,Leonetti,M
16.0,16,1991,Leonetti,C
16.0,17,1991,Leonetti,C
16.0,18,1991,Leonetti,C
16.0,19,1995,Leonetti - Columbia Valley ,M
16.0,20,1995,Leonetti - Columbia Valley ,M
16.0,21,1994,Leonetti - Columbia Valley ,C
16.0,22,1993,Leonetti - Columbia Valley ,C
16.0,23,1994,Leonetti,M
16.0,24,1993,Leonetti,M
16.0,25,1993,Leonetti - Columbia Valley ,C
,,,,
,,,,
,,Column 17,,
,,,,
,No,,,
17.0,1,,,
17.0,2,,,
17.0,3,,,
17.0,4,,,
17.0,5,,,
17.0,6,2003,A. Rafanelli,Z
17.0,7,2003,A. Rafanelli,Z
17.0,8,2003,A. Rafanelli,Z
17.0,9,2003,A. Rafanelli,Z
17.0,10,,,
17.0,11,,,
17.0,12,2018,A. Rafanelli,Z
17.0,13,2018,A. Rafanelli,Z
17.0,14,2018,A. Rafanelli,Z
,,,,
17.0,15,2017,A. Rafanelli,C
17.0,16,2017,A. Rafanelli,C
17.0,17,2017,A. Rafanelli,C
17.0,18,2017,A. Rafanelli,C
17.0,19,2017,A. Rafanelli,C
17.0,20,2017,A. Rafanelli,C
17.0,21,2017,A. Rafanelli,C
17.0,22,2017,A. Rafanelli,C
17.0,23,2017,A. Rafanelli,C
17.0,24,,,
17.0,25,,,
,,,,
,,,,
,,Column 18,,
,,,,
,No,,,
18.0,1,,,
18.0,2,2005,A. Rafanelli,Z
18.0,3,2005,A. Rafanelli,Z
18.0,4,2005,A. Rafanelli,Z
18.0,5,2005,A. Rafanelli,Z
18.0,6,2017,A. Rafanelli,Z
18.0,7,2017,A. Rafanelli,Z
18.0,8,2017,A. Rafanelli,Z
18.0,9,2017,A. Rafanelli,Z
18.0,10,2017,A. Rafanelli,Z
18.0,11,2017,A. Rafanelli,Z
18.0,12,2017,A. Rafanelli,Z
18.0,13,2017,A. Rafanelli,Z
18.0,14,2017,A. Rafanelli,Z
,,,,
18.0,15,1986,Lynch Bages - Pauillac,B
18.0,16,1986,Lynch Bages - Pauillac,B
18.0,17,1986,Lynch Bages - Pauillac,B
18.0,18,1985,Lynch Bages - Pauillac,B
18.0,19,,,
18.0,20,1989,Lynch Bages - Pauillac,B
18.0,21,,,
18.0,22,,,
18.0,23,,,
18.0,24,,,
18.0,25,,,
,,,,
,,,,
,,Column 19,,
,,,,
,No,,,
19.0,1,,,
19.0,2,1989,Lacoste-Borie - Pauillac,B
19.0,3,1989,Lacoste-Borie - Pauillac,B
19.0,4,1989,Lacoste-Borie - Pauillac,B
19.0,5,1989,Lacoste-Borie - Pauillac,B
19.0,6,1989,Lacoste-Borie - Pauillac,B
19.0,7,1989,Lacoste-Borie - Pauillac,B
19.0,8,1989,Lacoste-Borie - Pauillac,B
19.0,9,1989,Lacoste-Borie - Pauillac,B
19.0,10,,,
19.0,11,,,
19.0,12,,,
19.0,13,,,
19.0,14,1989,Baron de Pichon - Longueville - Pauillac,B
,,,,
19.0,15,1989,Baron de Pichon - Longueville - Pauillac,B
19.0,16,1989,Baron de Pichon - Longueville - Pauillac,B
19.0,17,1989,Baron de Pichon - Longueville - Pauillac,B
19.0,18,1990,Baron de Pichon - Longueville - Pauillac,B
19.0,19,,,
19.0,20,,,
19.0,21,,,
19.0,22,,,
19.0,23,,,
19.0,24,,,
19.0,25,,,
,,,,
,,,,
,,Column 20,,
,,,,
,No,,,
20.0,1,,,
20.0,2,,,
20.0,3,2015,A. Rafanelli,Z
20.0,4,2015,A. Rafanelli,Z
20.0,5,2015,A. Rafanelli,Z
20.0,6,2015,A. Rafanelli,Z
20.0,7,2015,A. Rafanelli,Z
20.0,8,2015,A. Rafanelli,Z
20.0,9,2015,A. Rafanelli,Z
20.0,10,2015,A. Rafanelli,Z
20.0,11,2015,A. Rafanelli,Z
20.0,12,2006,A. Rafanelli,Z
20.0,13,2006,A. Rafanelli,Z
20.0,14,,,
,,,,
20.0,15,1988,Baron de Pichon - Longueville - Pauillac,B
20.0,16,,,
20.0,17,,,
20.0,18,,,
20.0,19,,,
20.0,20,,,
20.0,21,2001,Troplong Mondot - Saint Emilion,B
